"","day","hour","PRES_hourly","SPED_hourly","DIR_hourly","T_hourly","RH_hourly"
"99","2016-01-05",2,97291.75,3.58638888332579,182.830663674275,-266.124163648817,96.8808334986369
"100","2016-01-05",3,97301.8611111111,3.35638888809416,177.765642289976,-266.661944325765,97.0311110814413
"101","2016-01-05",4,97299.5,2.61499999397331,182.287656892193,-267.341113196479,97.9699998855591
"102","2016-01-05",5,97311.7777777778,2.8705555588007,182.82396361188,-267.418149029767,98.4970369409632
"103","2016-01-05",6,97336.3055555555,2.58055555621783,195.57531501624,-268.093545673194,98.9414642493525
"104","2016-01-05",7,97376.2222222222,0.956111111802359,245.135090223317,-268.589167361789,99.6294456693861
"105","2016-01-05",8,97448.3055555555,1.04388889188154,249.468680039905,-268.611665429009,99.7883348253038
"106","2016-01-05",9,97514.4444444445,0.949166665557359,255.475934075387,-269.891110229492,99.7458344777425
"107","2016-01-05",10,97573.1111111111,1.91027777120471,229.903657163183,-266.333612484402,98.2541669421726
"108","2016-01-05",11,97596.1666666667,2.45222221910953,218.767029240666,-264.919722323948,92.4863889270359
"109","2016-01-05",12,97605.3333333333,3.30277778142028,198.915360002676,-264.773889414469,89.724166531033
"110","2016-01-05",13,97629.4722222222,2.81611110998525,186.199736552999,-264.98333223131,93.0013888676961
"111","2016-01-05",14,97653.9722222222,2.81611111130979,200.940852436805,-264.159998151991,88.8180554707845
"112","2016-01-05",15,97710.5833333333,2.82638888822662,215.619977232593,-264.650553554959,88.1650000466241
"113","2016-01-05",16,97785.4722222222,2.50527777373791,210.135005178563,-266.196111382379,95.1216666963365
"114","2016-01-05",17,97841.1388888889,2.81083332995574,212.950597949036,-266.822589111328,96.3537039862739
"115","2016-01-05",18,97895.25,2.35472221904331,202.435758379717,-267.145308631011,95.2281147598476
"116","2016-01-05",19,97936.75,1.23277777719001,168.486678102515,-267.613334231906,96.9394445631239
"117","2016-01-05",20,97992.8055555556,1.19666666852103,95.2179889720497,-268.473334757487,98.7255557590061
"118","2016-01-05",21,98033.25,0.954722223348087,171.953905107897,-268.376945665148,99.2961112340291
"119","2016-01-05",22,98072.3055555556,0.401111114873654,167.854870954348,-268.76583565606,99.4405561659071
"120","2016-01-05",23,98107.5,0.978333334852423,177.09333831207,-268.821110110813,99.4247226715088
